,location,district,rooms,size,level,max_levels,price
688,"город Ташкент, Сергелийский район, Сергели-I Янгихаётский район",Сергелийский,3,80.0,2,5,45000.0
689,"город Ташкент, Мирзо-Улугбекский район, Ялангач",Мирзо-Улугбекский,2,50.0,1,4,30000.0
690,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,3,80.0,5,5,39000.0
691,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,80.0,3,5,52500.0
692,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,3,90.0,2,9,51000.0
693,"город Ташкент, Чиланзарский район, жилой комплекс Oq-Tepa sohil bo'yi",Чиланзарский,5,105.0,7,9,78500.0
694,"город Ташкент, Юнусабадский район, Минор",Юнусабадский,4,100.0,3,5,85000.0
695,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,4,100.0,9,9,70000.0
696,"город Ташкент, Шайхантахурский район, Toshmi",Шайхантахурский,4,94.0,5,5,65000.0
697,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,2,72.0,5,12,40000.0
698,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48.0,5,9,23000.0
699,"город Ташкент, Чиланзарский район, 1-й проезд Лутфи",Чиланзарский,3,73.0,4,9,75000.0
700,"город Ташкент, Шайхантахурский район, тупик Туркипак",Шайхантахурский,3,75.0,10,12,50000.0
701,"город Ташкент, Мирабадский район, Айбека (пр-т Косманавтов) ",Мирабадский,4,96.0,7,9,96000.0
702,"город Ташкент, Мирзо-Улугбекский район, Олимлар (Морозова) ",Мирзо-Улугбекский,2,59.0,4,5,38500.0
703,"город Ташкент, Олмазорский район, Себзар",Олмазорский,1,33.0,3,4,33500.0
704,"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,2,60.0,2,9,60000.0
705,"город Ташкент, Мирзо-Улугбекский район, Зиёлилар",Мирзо-Улугбекский,2,70.0,3,6,85000.0
706,"город Ташкент, Юнусабадский район, Юнусабад 9-й квартал",Юнусабадский,2,62.0,2,5,49000.0
707,"город Ташкент, Мирзо-Улугбекский район, Кары-Ниязи",Мирзо-Улугбекский,4,214.0,2,8,380000.0
708,"город Ташкент, Мирзо-Улугбекский район, Шуртепа",Мирзо-Улугбекский,2,60.0,4,4,32000.0
709,"город Ташкент, Юнусабадский район, Юнусабад 9-й квартал",Юнусабадский,2,83.0,3,5,50000.0
710,"город Ташкент, Юнусабадский район, Юнусабад 9-й квартал",Юнусабадский,2,77.0,4,9,52000.0
711,"город Ташкент, Юнусабадский район, Шахристанская",Юнусабадский,2,68.0,6,9,56000.0
712,"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,2,60.0,3,5,30500.0
713,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули",Мирзо-Улугбекский,3,66.0,3,5,56000.0
714,"город Ташкент, Юнусабадский район, Юнусабад 4-й квартал",Юнусабадский,2,58.0,1,4,56000.0
715,"город Ташкент, Мирзо-Улугбекский район, Ойдин",Мирзо-Улугбекский,3,70.0,5,5,46500.0
716,"город Ташкент, Юнусабадский район, Юнусабад 9-й квартал",Юнусабадский,2,58.0,1,5,58000.0
717,"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,3,62.0,5,5,35000.0
718,"город Ташкент, Юнусабадский район, Юнусабад 4-й квартал",Юнусабадский,2,60.0,7,8,59500.0
719,"город Ташкент, Юнусабадский район, Олой Бозори",Юнусабадский,2,74.0,3,4,63000.0
720,"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,3,78.0,4,4,56000.0
721,"город Ташкент, Шайхантахурский район, Актепа",Шайхантахурский,1,28.0,2,2,21000.0
722,"город Ташкент, Юнусабадский район, Ц4",Юнусабадский,1,44.0,2,5,59999.0
723,"город Ташкент, Яшнободский район, Рисовый базар",Яшнободский,3,93.0,4,7,46500.0
724,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,3,70.0,4,5,55000.0
725,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,4,112.0,11,12,85500.0
726,"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,3,70.0,4,4,31800.0
727,"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,3,70.0,5,5,34600.0
728,"город Ташкент, Мирабадский район, Айбека (пр-т Косманавтов) ",Мирабадский,4,100.0,8,9,160000.0
729,"город Ташкент, Сергелийский район, Сергели 8",Сергелийский,4,100.0,1,9,76000.0
730,"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,2,56.0,4,4,32500.0
731,"город Ташкент, Учтепинский район, Алгоритм",Учтепинский,2,60.0,4,4,29900.0
732,"город Ташкент, Юнусабадский район, Юнусабад 2-й квартал",Юнусабадский,3,70.0,3,9,64000.0
733,"город Ташкент, Мирабадский район, Сайхун",Мирабадский,3,112.0,4,5,80000.0
734,"город Ташкент, Мирзо-Улугбекский район, ц-2 Олой (Ц-2) ",Мирзо-Улугбекский,5,100.0,5,9,80000.0
735,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,5,235.0,6,8,395000.0
736,"город Ташкент, Яшнободский район, гузал махалля",Яшнободский,2,58.0,2,4,37000.0
737,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,52.0,4,4,32000.0
738,"город Ташкент, Яшнободский район, ПАРКЕНТСКИЙ",Яшнободский,2,62.0,9,9,34000.0
740,"город Ташкент, Яшнободский район, Корасу 5",Яшнободский,3,67.0,4,4,39000.0
741,"город Ташкент, Мирабадский район, Айбека (пр-т Косманавтов) ",Мирабадский,5,300.0,3,8,425000.0
742,"город Ташкент, Олмазорский район, 1-й проезд Алока",Олмазорский,4,92.0,3,5,63000.0
743,"город Ташкент, Яшнободский район, Карасу 5",Яшнободский,3,67.0,4,4,39000.0
744,"город Ташкент, Яшнободский район, 1-й проезд Авиасозлар",Яшнободский,3,67.0,4,4,39000.0
746,"город Ташкент, Яккасарайский район, Ресторан Джуманджи",Яккасарайский,1,45.0,3,4,40000.0
747,"город Ташкент, Яшнободский район, Кадышева",Яшнободский,2,30.0,7,9,20900.0
748,"город Ташкент, Мирабадский район, Нукус",Мирабадский,4,180.0,6,8,235000.0
749,"город Ташкент, Яккасарайский район, Нукус",Яккасарайский,2,60.0,4,9,50000.0
750,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,6,142.0,1,9,135000.0
751,"город Ташкент, Мирабадский район, Нукус",Мирабадский,3,85.0,3,9,86000.0
752,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,65.0,1,4,67000.0
753,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,4,80.0,1,5,55000.0
754,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули",Мирзо-Улугбекский,2,50.0,2,5,35000.0
755,"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,55.0,2,5,41000.0
756,"город Ташкент, Шайхантахурский район, Джангох",Шайхантахурский,3,70.0,2,9,52000.0
757,"город Ташкент, Юнусабадский район, Чинабад",Юнусабадский,4,104.0,6,9,74000.0
758,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули",Мирзо-Улугбекский,3,70.0,7,9,55000.0
759,"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,1,44.0,2,9,27000.0
760,"город Ташкент, Мирзо-Улугбекский район, 1-й проезд Сайрам",Мирзо-Улугбекский,1,30.0,1,2,19500.0
761,"город Ташкент, Олмазорский район, Бируни-1",Олмазорский,4,150.0,5,6,95000.0
762,"город Ташкент, Мирзо-Улугбекский район, Турон",Мирзо-Улугбекский,2,60.0,4,4,31992.0
763,"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,3,70.0,5,5,45500.0
764,"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,50.0,3,4,32000.0
765,"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,3,64.0,5,5,35000.0
766,"город Ташкент, Мирзо-Улугбекский район, Феруза-3",Мирзо-Улугбекский,3,70.0,4,4,41000.0
767,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,3,85.0,4,4,83000.0
768,"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,3,75.0,2,9,45500.0
769,"город Ташкент, Мирзо-Улугбекский район, Улица паркентская д. 1",Мирзо-Улугбекский,3,70.0,6,9,56000.0
770,"город Ташкент, Олмазорский район, Каракамыш-2/4",Олмазорский,4,83.0,5,5,38000.0
771,"город Ташкент, Чиланзарский район, Чиланзар  3 квартал",Чиланзарский,1,30.0,2,4,25500.0
772,"город Ташкент, Учтепинский район, 5-й проезд Гулистон",Учтепинский,2,57.95,11,12,29000.0
773,"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,50.0,2,4,47000.0
774,"город Ташкент, Мирзо-Улугбекский район, Мирзакалон Исмоилий",Мирзо-Улугбекский,3,75.0,3,4,67000.0
775,"город Ташкент, Мирзо-Улугбекский район, Мирзакалона Исмаили",Мирзо-Улугбекский,3,70.0,5,9,65000.0
776,"город Ташкент, Мирзо-Улугбекский район, Ялангач",Мирзо-Улугбекский,2,45.0,2,4,31000.0
777,"город Ташкент, Чиланзарский район, Чилонзар 9ГА",Чиланзарский,2,56.0,2,4,33000.0
778,"город Ташкент, Юнусабадский район, Кадирдон",Юнусабадский,4,95.0,3,9,62000.0
779,"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,3,70.0,2,4,73000.0
780,"город Ташкент, Яккасарайский район, Конституция",Яккасарайский,2,45.0,1,4,50000.0
781,"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,3,75.0,4,9,99000.0
782,"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 1-й квартал",Мирзо-Улугбекский,3,65.0,4,4,33000.0
783,"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,5,105.0,9,9,52900.0
784,"город Ташкент, Шайхантахурский район, Бешагач",Шайхантахурский,3,72.0,8,9,55000.0
785,"город Ташкент, Юнусабадский район, Юнусабад 5-й квартал",Юнусабадский,3,71.0,1,5,65000.0
786,"город Ташкент, Мирзо-Улугбекский район, 1-й проезд Оккургон",Мирзо-Улугбекский,2,75.0,2,4,68000.0
787,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,4,80.0,1,5,60000.0
788,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,4,79.0,5,5,42000.0
789,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,48.0,2,5,35500.0
790,"город Ташкент, Чиланзарский район, Хамза",Чиланзарский,2,60.0,3,5,39800.0
791,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60.0,5,9,38500.0
792,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,60.0,3,5,39000.0
793,"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,2,55.0,2,4,34500.0
794,"город Ташкент, Олмазорский район, 1-й проезд Карасарай",Олмазорский,1,40.0,6,9,28000.0
795,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,42.0,2,4,44000.0
797,"город Ташкент, Мирзо-Улугбекский район, Ялангач",Мирзо-Улугбекский,2,50.0,1,4,30000.0
798,"город Ташкент, Яккасарайский район, Урикзор",Яккасарайский,3,110.0,9,9,78000.0
799,"город Ташкент, Яккасарайский район, Урикзор",Яккасарайский,2,72.0,8,9,51500.0
800,"город Ташкент, Яккасарайский район, Урикзор",Яккасарайский,1,59.0,7,9,75000.0
801,"город Ташкент, Яккасарайский район, Ракат",Яккасарайский,1,47.0,7,9,34000.0
802,"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,3,72.0,9,9,43500.0
803,"город Ташкент, Чиланзарский район, Чиланзар-2",Чиланзарский,1,30.0,2,4,24000.0
804,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,4,118.0,3,12,108417.0
805,"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Юнусабадский,4,100.0,2,9,85000.0
806,"город Ташкент, Учтепинский район, Чиланзар  11 квартал",Учтепинский,1,35.0,3,4,26800.0
807,"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,3,75.0,8,9,75000.0
808,"город Ташкент, Чиланзарский район, Чиланзар-18",Чиланзарский,3,65.0,4,4,38500.0
809,"город Ташкент, Чиланзарский район, Чиланзар-11",Чиланзарский,2,50.0,2,4,31500.0
810,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,58.0,4,4,36500.0
811,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,2,50.0,3,4,35500.0
812,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60.0,5,9,37500.0
813,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,36.0,2,4,26500.0
814,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42.0,1,5,28500.0
815,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42.0,4,4,26500.0
816,"город Ташкент, Шайхантахурский район, 1-й проезд Джарарык",Шайхантахурский,4,96.0,2,9,72000.0
817,"город Ташкент, Юнусабадский район, 1-й проезд Кургон",Юнусабадский,4,82.0,1,4,80000.0
818,"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,1,43.0,2,4,25000.0
819,"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,2,56.0,4,5,29600.0
820,"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,2,64.0,5,9,32000.0
821,"город Ташкент, Мирабадский район, Авиа кассы, Нукусская. Метро Ташкент",Мирабадский,2,65.0,7,9,48000.0
822,"город Ташкент, Олмазорский район, Бешкурган-4 (Тансикбаев) ",Олмазорский,4,84.0,5,5,47000.0
823,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,4,140.0,2,12,128631.0
824,"город Ташкент, Юнусабадский район, 1-й проезд Октепа",Юнусабадский,3,45.0,4,9,27500.0
825,"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,2,48.0,1,4,36500.0
826,"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,53.06,3,7,53000.0
827,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,2,50.0,2,5,34000.0
828,"город Ташкент, Яшнободский район, 1-й Муйнакский проезд",Яшнободский,3,63.0,5,5,45000.0
829,"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,5,110.0,2,4,85000.0
830,"город Ташкент, Юнусабадский район, Мурувват",Юнусабадский,3,67.0,4,4,40000.0
831,"город Ташкент, Олмазорский район, Тахтапуль",Олмазорский,4,91.0,5,5,55000.0
832,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,2,53.0,5,5,32000.0
833,"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,1,34.0,1,4,27000.0
834,"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,3,68.0,4,4,56500.0
835,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,1,46.0,3,4,26800.0
836,"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,3,68.0,3,5,53000.0
837,"город Ташкент, Яшнободский район, Авиасозлар 3",Яшнободский,3,62.5,1,4,46500.0
838,"город Ташкент, Мирзо-Улугбекский район, 1-й проезд Сайрам",Мирзо-Улугбекский,1,30.0,1,2,18500.0
839,"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,2,43.0,1,4,29800.0
840,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,63.0,2,5,42000.0
841,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,4,92.5,2,9,70000.0
842,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,51.0,3,4,34500.0
843,"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,3,65.0,4,4,46500.0
844,"город Ташкент, Мирабадский район, Айбека (пр-т Косманавтов) ",Мирабадский,3,110.0,7,9,127000.0
845,"город Ташкент, Сергелийский район, населённый пункт Закиров",Сергелийский,2,84.0,3,9,33500.0
846,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,68.0,4,5,42000.0
847,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,2,45.0,4,4,34500.0
848,"город Ташкент, Яккасарайский район, Нукус",Яккасарайский,4,120.0,1,5,135000.0
849,"город Ташкент, Сергелийский район, Сергели 6а",Сергелийский,3,82.0,3,7,55000.0
850,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,3,96.0,2,4,74000.0
851,"город Ташкент, Шайхантахурский район, Актепа",Шайхантахурский,1,41.0,5,9,31500.0
852,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,7,203.0,8,9,98979.0
853,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,1,64.0,4,12,58803.0
854,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,4,80.0,5,6,56500.0
855,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,46.0,3,4,33500.0
856,"город Ташкент, Юнусабадский район, Юнусабад-16",Юнусабадский,4,82.0,1,9,65000.0
857,"город Ташкент, Мирзо-Улугбекский район, Мирзакалон Исмоилий",Мирзо-Улугбекский,3,113.6,2,5,115000.0
858,"город Ташкент, Шайхантахурский район, Хадра",Шайхантахурский,3,75.0,7,9,57000.0
859,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,42.0,3,4,47000.0
860,"город Ташкент, Шайхантахурский район, Лабзак",Шайхантахурский,2,60.0,3,4,53000.0
861,"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,61.0,4,5,39000.0
862,"город Ташкент, Юнусабадский район, Минор",Юнусабадский,2,60.0,3,4,73000.0
863,"город Ташкент, Шайхантахурский район, Саидакбара Косимова",Шайхантахурский,3,75.0,1,9,78000.0
864,"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,3,70.0,2,4,65000.0
865,"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,4,96.0,9,12,62000.0
866,"город Ташкент, Юнусабадский район, Юнусабад-19",Юнусабадский,4,90.0,7,9,53000.0
867,"город Ташкент, Мирзо-Улугбекский район, ТТЗ-2",Мирзо-Улугбекский,2,55.0,4,4,31500.0
868,"город Ташкент, Чиланзарский район, 1-й проезд Токзор",Чиланзарский,2,58.0,4,5,30000.0
869,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,62.0,2,4,40500.0
870,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,2,47.0,4,5,37000.0
871,"город Ташкент, Чиланзарский район, Чиланзар  19 квартал",Чиланзарский,2,45.0,1,4,33500.0
872,"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,1,28.0,4,5,23999.0
873,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,78.0,4,4,75000.0
874,"город Ташкент, Шайхантахурский район, Лабзак",Шайхантахурский,3,65.0,3,4,54000.0
875,"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,3,70.0,4,4,52000.0
876,"город Ташкент, Чиланзарский район, Чопан ота",Чиланзарский,2,56.0,4,4,35000.0
877,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,3,75.0,1,4,52000.0
878,"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Яшнободский,3,110.0,5,5,95000.0
879,"город Ташкент, Яккасарайский район, Мирабад",Яккасарайский,3,85.0,2,4,110000.0
880,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,44.0,3,4,40000.0
881,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,5,246.0,8,9,119991.0
882,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100.0,8,9,120000.0
883,"город Ташкент, Чиланзарский район, Малая кольцевая дорога",Чиланзарский,3,79.0,4,4,75000.0
884,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,110.0,2,8,169000.0
885,"город Ташкент, Учтепинский район, 1-й проезд Кувнок",Учтепинский,4,96.0,1,4,75000.0
886,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,50.0,1,4,75000.0
887,"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,50.0,1,4,31000.0
888,"город Ташкент, Шайхантахурский район, Богкуча",Шайхантахурский,3,70.0,1,9,50000.0
889,"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,2,60.0,4,4,44000.0
890,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,3,87.05,5,11,62338.0
891,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,121.0,5,9,75475.0
892,"город Ташкент, Яшнободский район, жилой комплекс Assalom",Яшнободский,3,74.0,8,9,75000.0
893,"город Ташкент, Юнусабадский район, Шарафабад",Юнусабадский,2,99.0,1,9,115000.0
894,"город Ташкент, Яшнободский район, Лисунова-1 кадышева",Яшнободский,1,40.0,8,9,20500.0
895,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,50.0,4,4,37000.0
896,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,50.0,4,4,31000.0
897,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,3,80.0,4,5,56000.0
898,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,2,68.0,5,5,44500.0
899,"город Ташкент, Юнусабадский район, Минор",Юнусабадский,4,83.0,4,4,75000.0
900,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,80.0,9,12,42000.0
901,"город Ташкент, Учтепинский район, Изза",Учтепинский,4,100.0,9,9,50000.0
902,"город Ташкент, Учтепинский район, Изза",Учтепинский,3,90.0,1,9,75000.0
903,"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,4,92.0,4,4,61000.0
904,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,72.0,7,9,44500.0
905,"город Ташкент, Чиланзарский район, Алмазар",Чиланзарский,3,110.0,4,9,71000.0
906,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,4,82.0,4,5,50000.0
907,"город Ташкент, Учтепинский район, Кухна-Чупонота массив Чиланзар 13-й квартал",Учтепинский,4,84.0,5,5,47500.0
908,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,125.0,4,4,78000.0
909,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,4,80.0,1,9,90000.0
910,"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,4,80.0,6,9,63000.0
911,"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,4,72.0,4,4,45000.0
912,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,70.0,7,9,47000.0
913,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,72.0,1,9,45500.0
914,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,3,70.0,1,12,40000.0
915,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,70.0,1,4,48000.0
916,"город Ташкент, Чиланзарский район, Шарк",Чиланзарский,3,77.0,5,9,47500.0
917,"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,3,65.0,3,4,45000.0
918,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,75.0,2,9,47500.0
919,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,3,70.0,2,5,52000.0
920,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,65.0,3,4,49000.0
921,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,65.0,4,4,51000.0
922,"город Ташкент, Чиланзарский район, площадь Актепа",Чиланзарский,3,75.0,9,9,63500.0
923,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,3,60.0,4,4,45000.0
924,"город Ташкент, Чиланзарский район, Алмазар",Чиланзарский,3,72.0,7,9,70000.0
925,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,2,50.0,4,4,37500.0
926,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,45.0,5,5,34000.0
927,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,3,87.65,7,11,60675.0
928,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,2,60.0,7,9,39997.0
929,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30.0,4,4,22500.0
930,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,46.0,2,4,52000.0
931,"город Ташкент, Чиланзарский район, Аль-Хорезми-1",Чиланзарский,3,70.0,9,9,36000.0
932,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,58.0,8,9,35000.0
933,"город Ташкент, Яккасарайский район, 8 Марта",Яккасарайский,2,48.0,1,4,38500.0
934,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Шайхантахурский,3,80.0,5,9,68000.0
935,"город Ташкент, Яшнободский район, Паркент",Яшнободский,4,110.0,7,9,68614.0
936,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,4,129.14,5,11,92479.0
937,"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,1,44.0,2,9,27000.0
938,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,50.0,3,5,46000.0
939,"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,5,116.0,3,9,87000.0
940,"город Ташкент, Юнусабадский район, Юнусабад 12-й квартал",Юнусабадский,2,46.0,3,4,37000.0
941,"город Ташкент, Мирзо-Улугбекский район, Оккургон",Мирзо-Улугбекский,4,120.0,2,8,190000.0
942,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,1,35.0,1,5,27000.0
943,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,50.0,1,5,34500.0
944,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36.0,1,4,26500.0
945,"город Ташкент, Чиланзарский район, Чиланзар-1",Чиланзарский,2,56.0,2,5,38000.0
946,"город Ташкент, Чиланзарский район, Хамза",Чиланзарский,2,60.0,2,5,42000.0
947,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60.0,2,9,42500.0
948,"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,1,36.0,4,4,24500.0
949,"город Ташкент, Учтепинский район",Учтепинский,2,54.0,2,4,37000.0
950,"город Ташкент, Чиланзарский район, Чиланзар-13",Чиланзарский,2,56.0,3,5,36000.0
